"","Country","City / Region","Name","System","Operator","Launched","Discontinued"
"357","Germany","Münster","Bolt[170]","","","",""
"358","Germany","Münster","tretty[171]","","","August 2020",""
"359","Germany","Norderstedt","nextbike[16]","","","",""
"360","Germany","Nuremberg","Lastenrad für alle[172]","Bluepingu e.V.","","2017",""
"361","Germany","Nuremberg","VAG_Rad[154]","3 & 4 Gen. nextbike","","2019",""
"362","Germany","Nuremberg","NorisBike","3 Gen. nextbike","","2011","2018"
"363","Germany","Ochtrup","Donkey Republic[96]","","","",""
"364","Germany","Oldenburg","Call a Bike[124]","","","",""
"365","Germany","Oldenburg","nextbike[16]","","","",""
"366","Germany","Oberhausen","Call a Bike[124]","","","",""
"367","Germany","Oberhausen","metropolradruhr[16]","3 Gen. nextbike","","2010",""
"368","Germany","Offenbach","Call a Bike[124]","","","",""
"369","Germany","Offenburg","nextbike[16]","3 Gen. nextbike","","2010",""
"370","Germany","Ortenaukreis","nextbike[16]","","","",""
"371","Germany","Potsdam","nextbike[16]","3 Gen. nextbike","","2010",""
"372","Germany","Prignitz","Donkey Republic[96]","","","",""
"373","Germany","Regensburg","Donkey Republic[96]","","","",""
"374","Germany","Region Mittlerer Oberrhein","KVV.nextbike[16]","nextbike","","",""
"375","Germany","Rheinisch-Bergischer Kreis","Bergisches E-Bike[173]","nextbike","","",""
"376","Germany","Rhein-Erft-Kreis","REVG mobic[174]","nextbike","","",""
"377","Germany","Rhine-Neckar Metropolitan Region","VRNnextbike[16]","nextbike","","",""
"378","Germany","Rhein-Sieg-Kreis (west of the Rhine)","RVK[175]","nextbike","","",""
"379","Germany","Rhein-Sieg-Kreis (east of the Rhine)","RSVG[176]","nextbike","","",""
"380","Germany","Rostock","Call a Bike[124]","","","",""
"381","Germany","Rüsselsheim","nextbike[16]","","","",""
"382","Germany","Saarbrücken","Call a Bike[124]","","","",""
"383","Germany","Schkeuditz","nextbike[16]","","","",""
"384","Germany","Schlei Region","Donkey Republic[96]","","","",""
"385","Germany","Schwabach","VAG_Rad[16]","nextbike","","",""
"386","Germany","Siegerland","Velocity Siegerland","Velocity","","","Discontinued[177]"
"387","Germany","Straubing","Donkey Republic[96]","","","",""
"388","Germany","Stuttgart + Region","Call a Bike[124]","4 Gen. Call a Bike fix","","June 2007",""
