"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime"
"Suzhou","Rain",10000,23.54,23.54,23.54,1001,98,1.55,165,"2024-07-11 21:00:00"
"Suzhou","Rain",5270,24.18,24.18,24.18,1001,98,2.64,195,"2024-07-12 00:00:00"
"Suzhou","Rain",2943,24.14,24.14,24.14,1001,99,1.14,219,"2024-07-12 03:00:00"
"Suzhou","Rain",10000,24.96,24.96,24.96,1001,95,1.54,253,"2024-07-12 06:00:00"
"Suzhou","Rain",10000,24.25,24.25,24.25,1000,97,0.74,179,"2024-07-12 09:00:00"
"Suzhou","Rain",10000,24.06,24.06,24.06,1001,97,3.63,156,"2024-07-12 12:00:00"
"Suzhou","Rain",10000,23.95,23.95,23.95,1001,97,1.76,170,"2024-07-12 15:00:00"
"Suzhou","Rain",4972,23.77,23.77,23.77,1000,97,3.24,203,"2024-07-12 18:00:00"
"Suzhou","Rain",10000,23.86,23.86,23.86,1000,96,1.59,150,"2024-07-12 21:00:00"
"Suzhou","Rain",10000,26.43,26.43,26.43,1001,87,3.88,216,"2024-07-13 00:00:00"
"Suzhou","Rain",10000,28.51,28.51,28.51,1001,76,3.77,245,"2024-07-13 03:00:00"
"Suzhou","Rain",10000,30.46,30.46,30.46,1000,69,4.06,263,"2024-07-13 06:00:00"
"Suzhou","Rain",10000,29.74,29.74,29.74,1000,74,2.7,276,"2024-07-13 09:00:00"
"Suzhou","Rain",10000,26.72,26.72,26.72,1002,87,0.68,308,"2024-07-13 12:00:00"
"Suzhou","Clouds",10000,25.44,25.44,25.44,1003,93,1.34,354,"2024-07-13 15:00:00"
"Suzhou","Clouds",10000,24.69,24.69,24.69,1004,96,1.32,8,"2024-07-13 18:00:00"
"Suzhou","Clouds",10000,24.05,24.05,24.05,1004,96,1.2,352,"2024-07-13 21:00:00"
"Suzhou","Clouds",10000,26.34,26.34,26.34,1006,86,1.01,349,"2024-07-14 00:00:00"
"Suzhou","Clouds",10000,28.18,28.18,28.18,1006,78,0.62,27,"2024-07-14 03:00:00"
"Suzhou","Clouds",10000,29.71,29.71,29.71,1006,72,1.34,282,"2024-07-14 06:00:00"
"Suzhou","Clouds",10000,28.11,28.11,28.11,1007,81,1.48,309,"2024-07-14 09:00:00"
